rows,cols,beta,edge
SID31219,SID31300,62.0873710476434,SID31219-SID31300
SID31219,SID530055,64.3676397839989,SID31219-SID530055
SID530055,SID532779,59.8180270169286,SID530055-SID532779
SID31219,SID532802,62.9601788621775,SID31219-SID532802
SID31300,SID532802,64.7250590785117,SID31300-SID532802
SID530055,SID532802,63.0574585337244,SID530055-SID532802
SID532779,SID532802,64.3209213338385,SID532779-SID532802
SID31219,S118,62.452896289477,SID31219-S118
SID530055,S118,64.2626300883022,SID530055-S118
SID532779,S118,62.323684767161,SID532779-S118
SID31219,S121,64.5235357358197,SID31219-S121
SID532779,S121,58.7412414958142,SID532779-S121
SID532802,S121,60.2164860231583,SID532802-S121
S118,S121,58.7039396745502,S118-S121
S118,S126,63.8002471170289,S118-S126
SID31219,S127,59.5953868606502,SID31219-S127
SID31300,S127,61.1709144656355,SID31300-S127
SID530055,S127,57.2815857145652,SID530055-S127
SID532779,S127,59.5340479634169,SID532779-S127
SID532802,S127,60.2568686515189,SID532802-S127
S118,S127,57.3212950730027,S118-S127
S121,S127,55.752175908576,S121-S127
S126,S127,57.0707689367249,S126-S127
SID532802,S137,60.1222744261703,SID532802-S137
S126,S137,61.8383679646338,S126-S137
S127,S137,61.2162742432047,S127-S137
SID31300,S187,63.6529062319578,SID31300-S187
SID530055,S187,63.728011336041,SID530055-S187
SID532779,S187,63.6096413515892,SID532779-S187
S121,S187,62.7749203869672,S121-S187
S127,S187,62.4984588467221,S127-S187
S126,S193,63.7202503293855,S126-S193
S127,S193,58.0077743652596,S127-S193
SID530055,S194,60.6588743031862,SID530055-S194
SID532779,S194,58.119949828779,SID532779-S194
SID532802,S194,64.6165939250699,SID532802-S194
S118,S194,62.5291791037763,S118-S194
S121,S194,64.8735596347701,S121-S194
S127,S194,58.4194123821469,S127-S194
S187,S194,62.1959173685005,S187-S194
SID532779,S224,62.0323774675287,SID532779-S224
SID532802,S224,64.7869769629671,SID532802-S224
S118,S224,64.3499834982558,S118-S224
S126,S224,56.9948847436262,S126-S224
S127,S224,51.7561313178185,S127-S224
S137,S224,61.4495483921948,S137-S224
S193,S224,62.9456272936548,S193-S224
S194,S224,60.6638648822678,S194-S224
SID31219,S227,63.7876307623881,SID31219-S227
SID530055,S227,60.9477146877096,SID530055-S227
SID532779,S227,61.4467482646103,SID532779-S227
SID532802,S227,61.7859228214638,SID532802-S227
S121,S227,64.6601367932398,S121-S227
S127,S227,52.8745881358502,S127-S227
S137,S227,57.2009892780352,S137-S227
S193,S227,59.9647904938458,S193-S227
S194,S227,63.988454535341,S194-S227
S224,S227,61.1824899988163,S224-S227
S127,S239,63.9529752803686,S127-S239
SID31219,S264,62.5261024960208,SID31219-S264
SID532779,S264,61.5392731220653,SID532779-S264
SID532802,S264,59.3831269680565,SID532802-S264
S118,S264,59.0301672853305,S118-S264
S121,S264,59.8121960353796,S121-S264
S126,S264,64.0014676140163,S126-S264
S127,S264,59.1322202709558,S127-S264
S137,S264,62.5259699399251,S137-S264
S187,S264,59.7343466072687,S187-S264
S193,S264,64.6458976386339,S193-S264
S194,S264,61.5703297937954,S194-S264
S224,S264,59.8862716203019,S224-S264
S227,S264,64.990321447885,S227-S264
S126,S278,59.1701577337843,S126-S278
S127,S278,59.9616160093932,S127-S278
S137,S278,64.5195323364363,S137-S278
S224,S278,61.4840443505709,S224-S278
SID31219,S286,64.3713392778613,SID31219-S286
S118,S286,64.5765471277339,S118-S286
S126,S286,64.3250182764874,S126-S286
S127,S286,62.4831698921766,S127-S286
S137,S286,55.9885463949103,S137-S286
S193,S286,64.7647155873479,S193-S286
S224,S286,64.7042205990886,S224-S286
S227,S286,63.0553035377951,S227-S286
S264,S286,58.3840961487391,S264-S286
SID31219,S297,59.8685829903809,SID31219-S297
SID532802,S297,62.2382279222276,SID532802-S297
S118,S297,64.2545867732416,S118-S297
S121,S297,64.4331013066812,S121-S297
S127,S297,62.3952567510888,S127-S297
S137,S297,56.5923263668202,S137-S297
S227,S297,61.930275727437,S227-S297
S264,S297,57.3645500968288,S264-S297
S286,S297,44.8601450231556,S286-S297
SID31219,S342,63.7432987784329,SID31219-S342
SID532779,S342,64.7097089809798,SID532779-S342
SID532802,S342,60.3801552244314,SID532802-S342
S118,S342,62.1386126584395,S118-S342
S127,S342,63.8798251885163,S127-S342
S137,S342,60.3277599072283,S137-S342
S194,S342,64.5851777134339,S194-S342
S227,S342,60.5999869437544,S227-S342
S264,S342,53.7500260319378,S264-S342
S286,S342,56.4082189937143,S286-S342
S297,S342,51.8218997368519,S297-S342
S127,S378,60.046576996309,S127-S378
S126,S436,58.6937006524728,S126-S436
S127,S436,58.2686825500405,S127-S436
S137,S436,63.5234758999668,S137-S436
S193,S436,64.9558066014334,S193-S436
S194,S436,61.2752885641922,S194-S436
S200,S436,64.8745041624661,S200-S436
S224,S436,63.8113482607716,S224-S436
S127,S446,61.7784678184985,S127-S446
SID530055,S458,64.8978781636208,SID530055-S458
S127,S458,62.6496108453389,S127-S458
S227,S458,64.9776430565768,S227-S458
SID532779,S462,64.1029351123928,SID532779-S462
SID31219,S470,63.4058862445845,SID31219-S470
SID530055,S470,63.0840348978771,SID530055-S470
SID532779,S470,59.1586108648536,SID532779-S470
SID532802,S470,63.4267266999369,SID532802-S470
S121,S470,61.5661834348993,S121-S470
S127,S470,58.1769348212572,S127-S470
