rows,cols,beta,edge
SID530368,S112,64.9220380085042,SID530368-S112
SID531414,S112,64.1228535878692,SID531414-S112
SID31009,S141,61.5472487068634,SID31009-S141
SID31519,S141,64.5326918253888,SID31519-S141
SID530075,S141,63.7010101464465,SID530075-S141
SID530331,S141,62.2308792029732,SID530331-S141
SID530394,S141,62.0378369337646,SID530394-S141
SID31512,S143,64.0462357934832,SID31512-S143
SID31519,S143,64.7228629705291,SID31519-S143
SID530075,S143,63.5366186188423,SID530075-S143
SID530215,S143,61.5411889935978,SID530215-S143
SID530331,S143,60.2926901988954,SID530331-S143
SID530394,S143,63.7864748498238,SID530394-S143
SID31009,S146,61.4489175813157,SID31009-S146
SID530075,S146,58.0739900802132,SID530075-S146
SID31009,S153,59.3713163092628,SID31009-S153
SID31021,S153,63.1266872280826,SID31021-S153
SID31071,S153,62.7368265388512,SID31071-S153
SID31328,S153,62.5816847159803,SID31328-S153
SID31333,S153,63.1578830974817,SID31333-S153
SID31360,S153,64.5994674263825,SID31360-S153
SID31452,S153,60.5817345461009,SID31452-S153
SID31512,S153,63.2218286330004,SID31512-S153
SID31519,S153,57.0913987891349,SID31519-S153
SID530075,S153,52.2353147400822,SID530075-S153
SID530119,S153,60.8122329402463,SID530119-S153
SID530177,S153,62.3368329021286,SID530177-S153
SID530215,S153,60.8229217500349,SID530215-S153
SID530331,S153,56.7697724646199,SID530331-S153
S112,S153,60.0089574890067,S112-S153
S143,S153,61.8862127332784,S143-S153
SID31009,S155,61.5476550631531,SID31009-S155
SID31328,S155,63.550814591584,SID31328-S155
SID31360,S155,61.4684593709803,SID31360-S155
SID31519,S155,57.9855352195037,SID31519-S155
SID530075,S155,58.6748327164028,SID530075-S155
SID530331,S155,60.9411819946076,SID530331-S155
SID530364,S155,63.3033091786751,SID530364-S155
SID530394,S155,63.4105760048887,SID530394-S155
S112,S155,62.5347622023285,S112-S155
S141,S155,64.0114500573417,S141-S155
S143,S155,56.404612333871,S143-S155
S146,S155,62.7748231891747,S146-S155
S153,S155,60.8610508145204,S153-S155
SID530075,S158,61.5873569261802,SID530075-S158
SID530331,S158,62.449270691058,SID530331-S158
SID532796,S158,64.2102326015756,SID532796-S158
S141,S158,64.5326825825912,S141-S158
S155,S158,63.7948206271234,S155-S158
SID31512,S186,64.9433922457407,SID31512-S186
SID530075,S186,60.6220788402762,SID530075-S186
SID530215,S186,61.0148546425558,SID530215-S186
SID530331,S186,62.1088856355653,SID530331-S186
S143,S186,63.3792988080395,S143-S186
S153,S186,64.6228197246927,S153-S186
S155,S186,62.493499467697,S155-S186
S158,S186,62.0863131741736,S158-S186
SID31021,S195,63.4636305606214,SID31021-S195
SID31428,S195,61.4627571223343,SID31428-S195
SID31009,S198,64.5334745957654,SID31009-S198
SID31328,S198,64.5666518750919,SID31328-S198
SID31452,S198,62.1166505900133,SID31452-S198
SID31519,S198,58.8174841176622,SID31519-S198
SID530075,S198,63.39710967134,SID530075-S198
SID530215,S198,64.6360944853236,SID530215-S198
SID530331,S198,62.2319049501351,SID530331-S198
S141,S198,64.0800258841278,S141-S198
S143,S198,59.5165251208712,S143-S198
S153,S198,63.2836854090959,S153-S198
S155,S198,54.8800407499201,S155-S198
SID31428,S205,58.9429398947492,SID31428-S205
SID31512,S205,62.6821527943,SID31512-S205
SID31766,S205,63.0610268477439,SID31766-S205
SID31009,S225,64.0224356502432,SID31009-S225
SID31328,S225,57.8744033128937,SID31328-S225
SID31512,S225,64.8709604095627,SID31512-S225
SID31519,S225,60.2396797761615,SID31519-S225
SID31766,S225,63.8143319074098,SID31766-S225
SID530075,S225,59.1734876114242,SID530075-S225
SID530119,S225,64.1042647514351,SID530119-S225
SID530215,S225,64.7060530985042,SID530215-S225
SID530258,S225,60.980471259014,SID530258-S225
SID530331,S225,58.7756144855602,SID530331-S225
SID531414,S225,57.954055517179,SID531414-S225
SID532796,S225,61.4223384463041,SID532796-S225
S112,S225,56.2134423344116,S112-S225
S141,S225,63.4533451237547,S141-S225
S146,S225,61.5528578992178,S146-S225
S153,S225,61.699920319176,S153-S225
S155,S225,58.3664836891249,S155-S225
S158,S225,61.4057573645032,S158-S225
S186,S225,64.4707173759751,S186-S225
S198,S225,64.965204927723,S198-S225
SID31009,S229,64.253645348439,SID31009-S229
SID31021,S229,63.0447053920423,SID31021-S229
SID31328,S229,64.3124072708927,SID31328-S229
SID530075,S229,63.4727544078309,SID530075-S229
SID530364,S229,61.2030573362549,SID530364-S229
SID530394,S229,59.6852763423651,SID530394-S229
SID531414,S229,62.8205378894117,SID531414-S229
SID532796,S229,62.7039349062311,SID532796-S229
S141,S229,63.4897024141416,S141-S229
S143,S229,63.3881023296119,S143-S229
S153,S229,64.7787112463472,S153-S229
S155,S229,63.1671254501336,S155-S229
S158,S229,62.7944661656025,S158-S229
S195,S229,62.7329859742986,S195-S229
S225,S229,61.8397400427749,S225-S229
SID31333,S243,63.8492952072004,SID31333-S243
SID31360,S243,62.3840443501092,SID31360-S243
SID31512,S243,63.9600967454556,SID31512-S243
SID530075,S243,59.9454042330097,SID530075-S243
SID530215,S243,61.9341707689163,SID530215-S243
SID530331,S243,59.0942639765581,SID530331-S243
SID530394,S243,60.1827544747753,SID530394-S243
SID531414,S243,61.0747478657965,SID531414-S243
S141,S243,62.5065146649091,S141-S243
S143,S243,62.8047015515533,S143-S243
S153,S243,63.6405084482353,S153-S243
S155,S243,59.3073130900854,S155-S243
S158,S243,61.9864076102315,S158-S243
S186,S243,59.1787661633017,S186-S243
S225,S243,60.5058835412927,S225-S243
S229,S243,64.2490219708697,S229-S243
SID31428,S244,59.7004464808813,SID31428-S244
SID31512,S244,60.830777002876,SID31512-S244
SID31766,S244,63.037376552391,SID31766-S244
SID31009,S249,63.7616679874386,SID31009-S249
SID31328,S249,63.2560495989865,SID31328-S249
SID31360,S249,60.7107833587463,SID31360-S249
SID31519,S249,64.3219148890071,SID31519-S249
SID530075,S249,61.7953125367509,SID530075-S249
SID530119,S249,63.3459593838982,SID530119-S249
SID530215,S249,64.164707008524,SID530215-S249
SID530331,S249,61.0254714164527,SID530331-S249
SID531414,S249,61.7286795249267,SID531414-S249
S141,S249,64.4170826921163,S141-S249
S153,S249,62.1792652771643,S153-S249
S155,S249,63.5250774687218,S155-S249
S198,S249,62.0448205953483,S198-S249
S225,S249,62.2252675532163,S225-S249
S229,S249,64.5392906518989,S229-S249
S243,S249,64.18631845098,S243-S249
SID31021,S258,62.3115682962421,SID31021-S258
SID31333,S258,64.6123489993855,SID31333-S258
SID31360,S258,62.6255057992604,SID31360-S258
SID31428,S258,57.1779181274021,SID31428-S258
SID31512,S258,55.5121864598867,SID31512-S258
SID31766,S258,59.7035880824004,SID31766-S258
SID530075,S258,60.4176147024534,SID530075-S258
SID530215,S258,62.5926491954346,SID530215-S258
SID530315,S258,64.5660745488587,SID530315-S258
SID530364,S258,61.0021299863124,SID530364-S258
SID531414,S258,58.7155218750753,SID531414-S258
S153,S258,64.7073827942124,S153-S258
S186,S258,64.2288217602441,S186-S258
S195,S258,62.8372481404641,S195-S258
S205,S258,62.3259760663741,S205-S258
S225,S258,63.4737429639278,S225-S258
S229,S258,60.5340891432745,S229-S258
S243,S258,64.1805121719909,S243-S258
S244,S258,61.692546054725,S244-S258
S249,S258,64.8453483196342,S249-S258
SID31009,S268,64.476194696394,SID31009-S268
SID31021,S268,63.6935704306583,SID31021-S268
SID31328,S268,61.985745440398,SID31328-S268
SID31333,S268,64.8886451021965,SID31333-S268
SID31452,S268,59.5210063272283,SID31452-S268
SID31512,S268,61.9962406120796,SID31512-S268
SID31519,S268,56.9216204087079,SID31519-S268
SID31766,S268,64.5653862744613,SID31766-S268
SID530075,S268,54.5024938113906,SID530075-S268
SID530215,S268,59.1020549871442,SID530215-S268
SID530331,S268,55.6002857002171,SID530331-S268
SID530394,S268,61.8141218993292,SID530394-S268
S112,S268,58.6065442874856,S112-S268
S141,S268,62.7284244718561,S141-S268
S143,S268,56.2349718806398,S143-S268
S146,S268,63.2894775061682,S146-S268
S153,S268,53.6540596534621,S153-S268
S155,S268,55.5811046835416,S155-S268
S158,S268,58.9704614885524,S158-S268
S186,S268,59.0596147031299,S186-S268
S198,S268,51.8860906924346,S198-S268
S225,S268,59.1929759611256,S225-S268
S229,S268,58.7437010932171,S229-S268
S243,S268,60.0366078920873,S243-S268
S249,S268,59.4912676795044,S249-S268
S258,S268,64.9730939109819,S258-S268
S195,S269,61.674185841333,S195-S269
S205,S269,63.9707216651434,S205-S269
S258,S269,62.8593407012126,S258-S269
S158,S288,64.6712822899603,S158-S288
S225,S288,64.9259249614525,S225-S288
SID31766,S290,64.4576637944371,SID31766-S290
SID530364,S290,61.4685554125193,SID530364-S290
SID531414,S290,64.1496140357285,SID531414-S290
S205,S290,64.7976047557275,S205-S290
SID31009,S299,64.7254911807954,SID31009-S299
SID530331,S299,63.7473111070219,SID530331-S299
S225,S299,62.8036401061514,S225-S299
S249,S299,62.9985239245651,S249-S299
SID31009,S304,63.2727212228573,SID31009-S304
SID31360,S304,63.9715226798217,SID31360-S304
SID31452,S304,64.7295948178492,SID31452-S304
SID31512,S304,61.8428710088061,SID31512-S304
SID31519,S304,62.6015831156237,SID31519-S304
SID530075,S304,61.712222384641,SID530075-S304
SID530215,S304,58.0894780467443,SID530215-S304
SID530331,S304,63.7191724310917,SID530331-S304
S112,S304,64.0860629399685,S112-S304
S143,S304,63.1208549508083,S143-S304
S153,S304,62.8375114302307,S153-S304
S155,S304,62.2475833944841,S155-S304
S158,S304,64.6209579448521,S158-S304
S186,S304,63.7058355027505,S186-S304
S198,S304,60.6548053724032,S198-S304
S225,S304,61.9550182501674,S225-S304
S229,S304,63.8944881423628,S229-S304
S249,S304,63.8449169458577,S249-S304
S268,S304,55.8980859612794,S268-S304
SID31009,S305,62.3873663847787,SID31009-S305
SID31428,S305,63.6723214230756,SID31428-S305
SID31452,S305,62.4707536231203,SID31452-S305
SID31512,S305,63.5189675855246,SID31512-S305
SID31519,S305,60.064032623137,SID31519-S305
SID530075,S305,56.7486568418554,SID530075-S305
SID530215,S305,61.9267309857666,SID530215-S305
SID530331,S305,57.4243292923876,SID530331-S305
SID530394,S305,61.2573148111197,SID530394-S305
SID531414,S305,64.8101582447995,SID531414-S305
S143,S305,58.7651021828506,S143-S305
S153,S305,55.4967002047879,S153-S305
S155,S305,53.3164591362793,S155-S305
S158,S305,61.7762467002511,S158-S305
S186,S305,61.0390391306501,S186-S305
S198,S305,60.9585370326721,S198-S305
S225,S305,60.1667951408288,S225-S305
S229,S305,59.4097765825359,S229-S305
S243,S305,59.4999579590841,S243-S305
S249,S305,59.5612974823855,S249-S305
S258,S305,63.74071128575,S258-S305
S268,S305,52.5141531140167,S268-S305
S304,S305,60.5428001462102,S304-S305
SID31328,S327,64.215728379117,SID31328-S327
