rows,cols,beta,edge
profiled_ERR011241,profiled_ERR011206,63.132248192702,profiled_ERR011241-profiled_ERR011206
profiled_ERR011243,profiled_ERR011188,64.6139268062054,profiled_ERR011243-profiled_ERR011188
profiled_ERR011241,profiled_ERR011188,64.718604889017,profiled_ERR011241-profiled_ERR011188
profiled_ERR011243,profiled_ERR011172,64.1393263259446,profiled_ERR011243-profiled_ERR011172
S558,profiled_ERR011138,63.7731516451091,S558-profiled_ERR011138
profiled_ERR011206,profiled_ERR011138,62.5243972935078,profiled_ERR011206-profiled_ERR011138
profiled_ERR011188,profiled_ERR011138,64.466432034687,profiled_ERR011188-profiled_ERR011138
profiled_ERR011172,profiled_ERR011138,60.4262444470012,profiled_ERR011172-profiled_ERR011138
S558,profiled_ERR414314,64.2799514461833,S558-profiled_ERR414314
profiled_ERR011138,profiled_ERR414314,64.2971400677768,profiled_ERR011138-profiled_ERR414314
